DayIndex,Morning,Afternoon,Night
0,3,5,1
1,1,3,2
2,3,1,1
3,2,4,2
4,1,5,2
5,4,2,3
6,2,5,4
7,3,5,3
8,1,4,2
9,2,3,1
10,1,4,2
11,4,5,2
12,1,5,4
13,1,5,3
14,3,5,1
15,4,3,2
16,3,4,3
17,4,4,2
18,1,2,1
19,2,3,3
20,4,3,1
21,4,1,3
22,3,1,1
23,2,4,1
24,2,2,2
25,2,2,3
26,2,3,4
27,1,4,4
28,4,2,2
29,3,4,1
